id,title,abstract,link,processed_abstract
11,Network model of skeletal muscle cell signalling predicts differential responses to endurance and resistance exercise training.,"Exercise-induced muscle adaptations vary based on exercise modality and intensity. We constructed a signalling network model from 87 published studies of human or rodent skeletal muscle cell responses to endurance or resistance exercise in vivo or simulated exercise in vitro. The network comprises 259 signalling interactions between 120 nodes, representing eight membrane receptors and eight canonical signalling pathways regulating 14 transcriptional regulators, 28 target genes and 12 exercise-induced phenotypes. Using this network, we formulated a logic-based ordinary differential equation model predicting time-dependent molecular and phenotypic alterations following acute endurance and resistance exercises. Compared with nine independent studies, the model accurately predicted 18/21 (85%) acute responses to resistance exercise and 12/16 (75%) acute responses to endurance exercise. Detailed sensitivity analysis of differential phenotypic responses to resistance and endurance training showed that, in the model, exercise regulates cell growth and protein synthesis primarily by signalling via mechanistic target of rapamycin, which is activated by Akt and inhibited in endurance exercise by AMP-activated protein kinase. Endurance exercise preferentially activates inflammation via reactive oxygen species and nuclear factor κB signalling. Furthermore, the expected preferential activation of mitochondrial biogenesis by endurance exercise was counterbalanced in the model by protein kinase C in response to resistance training. This model provides a new tool for investigating cross-talk between skeletal muscle signalling pathways activated by endurance and resistance exercise, and the mechanisms of interactions such as the interference effects of endurance training on resistance exercise outcomes.",https://pubmed.ncbi.nlm.nih.gov/38643471/,exerciseinduced muscle adaptation vary based exercise modality intensity constructed signalling network model published study human rodent skeletal muscle cell response endurance resistance exercise vivo simulated exercise vitro network comprises signalling interaction node representing eight membrane receptor eight canonical signalling pathway regulating transcriptional regulator target gene exerciseinduced phenotype using network formulated logicbased ordinary differential equation model predicting timedependent molecular phenotypic alteration following acute endurance resistance exercise compared nine independent study model accurately predicted acute response resistance exercise acute response endurance exercise detailed sensitivity analysis differential phenotypic response resistance endurance training showed model exercise regulates cell growth protein synthesis primarily signalling via mechanistic target rapamycin activated akt inhibited endurance exercise ampactivated protein kinase endurance exercise preferentially activates inflammation via reactive oxygen specie nuclear factor b signalling furthermore expected preferential activation mitochondrial biogenesis endurance exercise counterbalanced model protein kinase c response resistance training model provides new tool investigating crosstalk skeletal muscle signalling pathway activated endurance resistance exercise mechanism interaction interference effect endurance training resistance exercise outcome
12,An LRPPRC-HAPSTR1-PSMD14 interaction regulates tumor progression in ovarian cancer.,"Ovarian cancer is the second most common cause of gynecologic cancer death. Chemoresistance and metastasis remain major challenges for current treatment. Previously, ",https://pubmed.ncbi.nlm.nih.gov/38643468/,ovarian cancer second common cause gynecologic cancer death chemoresistance metastasis remain major challenge current treatment previously
13,Integrative analysis based on the cell cycle-related genes identifies TPX2 as a novel prognostic biomarker associated with tumor immunity in breast cancer.,"This study aims to identify the essential cell cycle-related genes associated with prognosis in breast cancer (BRCA), and to verify the relationship between the central gene and immune infiltration, so as to provide detailed and comprehensive information for the treatment of BRCA.",https://pubmed.ncbi.nlm.nih.gov/38643462/,study aim identify essential cell cyclerelated gene associated prognosis breast cancer brca verify relationship central gene immune infiltration provide detailed comprehensive information treatment brca
14,Ferulic acid in synergy with retinol alleviates oxidative injury of HaCaT cells during UVB-induced photoaging.,"Application of retinol (Vitamin A, VA) in skincare is limited for instability, poor water solubility, and skin intolerance that combats skin aging. We employed computer-aided virtual screening and cell experiments with transcriptomics, thereby unveiling the comprehensive gene expression and regulation pathway of photoaging HaCaT cell treated with ferulic acid (FA) in synergizing with VA. Through network pharmacology analysis, the combined use of VA and FA exhibited highly correlated cross-targets with skin aging acting on EGFR, PTPN1, ESR2, GSK3B, BACE1, PYGL, PTGS2 and APP. The indicators of oxidative stress, such as SOD, GSH, MDA, CAT and ROS in HaCaT cells after co-administration, were significantly improved from those in photoaging group (",https://pubmed.ncbi.nlm.nih.gov/38643459/,application retinol vitamin va skincare limited instability poor water solubility skin intolerance combat skin aging employed computeraided virtual screening cell experiment transcriptomics thereby unveiling comprehensive gene expression regulation pathway photoaging hacat cell treated ferulic acid fa synergizing va network pharmacology analysis combined use va fa exhibited highly correlated crosstargets skin aging acting egfr ptpn esr gskb bace pygl ptgs app indicator oxidative stress sod gsh mda cat ro hacat cell coadministration significantly improved photoaging group
15,Deciphering the Prognostic Significance of MYD88 and CD79B Mutations in Diffuse Large B-Cell Lymphoma: Insights into Treatment Outcomes.,"The clinical and genetic characteristics, as well as treatment outcomes, of diffuse large B-cell lymphoma (DLBCL) patients with different MYD88 and CD79B mutation status merit further investigation.",https://pubmed.ncbi.nlm.nih.gov/38643457/,clinical genetic characteristic well treatment outcome diffuse large bcell lymphoma dlbcl patient different myd cdb mutation status merit investigation
16,Improving the production of carbamoyltobramycin by an industrial Streptoalloteichus tenebrarius through metabolic engineering.,"Tobramycin is an essential and extensively used broad-spectrum aminoglycoside antibiotic obtained through alkaline hydrolysis of carbamoyltobramycin, one of the fermentation products of Streptoalloteichus tenebrarius. To simplify the composition of fermentation products from industrial strain, the main byproduct apramycin was blocked by gene disruption and constructed a mutant mainly producing carbamoyltobramycin. The generation of antibiotics is significantly affected by the secondary metabolism of actinomycetes which could be controlled by modifying the pathway-specific regulatory proteins within the cluster. Within the tobramycin biosynthesis cluster, a transcriptional regulatory factor TobR belonging to the Lrp/AsnC family was identified. Based on the sequence and structural characteristics, tobR might encode a pathway-specific transcriptional regulatory factor during biosynthesis. Knockout and overexpression strains of tobR were constructed to investigate its role in carbamoyltobramycin production. Results showed that knockout of TobR increased carbamoyltobramycin biosynthesis by 22.35%, whereas its overexpression decreased carbamoyltobramycin production by 10.23%. In vitro electrophoretic mobility shift assay (EMSA) experiments confirmed that TobR interacts with DNA at the adjacent tobO promoter position. Strains overexpressing tobO with ermEp* promoter exhibited 36.36% increase, and tobO with kasOp* promoter exhibited 22.84% increase in carbamoyltobramycin titer. When the overexpressing of tobO and the knockout of tobR were combined, the production of carbamoyltobramycin was further enhanced. In the shake-flask fermentation, the titer reached 3.76 g/L, which was 42.42% higher than that of starting strain. Understanding the role of Lrp/AsnC family transcription regulators would be useful for other antibiotic biosynthesis in other actinomycetes. KEY POINTS: • The transcriptional regulator TobR belonging to the Lrp/AsnC family was identified.  • An oxygenase TobO was identified within the tobramycin biosynthesis cluster. • TobO and TobR have significant effects on the synthesis of carbamoyltobramycin.",https://pubmed.ncbi.nlm.nih.gov/38643456/,tobramycin essential extensively used broadspectrum aminoglycoside antibiotic obtained alkaline hydrolysis carbamoyltobramycin one fermentation product streptoalloteichus tenebrarius simplify composition fermentation product industrial strain main byproduct apramycin blocked gene disruption constructed mutant mainly producing carbamoyltobramycin generation antibiotic significantly affected secondary metabolism actinomycete could controlled modifying pathwayspecific regulatory protein within cluster within tobramycin biosynthesis cluster transcriptional regulatory factor tobr belonging lrpasnc family identified based sequence structural characteristic tobr might encode pathwayspecific transcriptional regulatory factor biosynthesis knockout overexpression strain tobr constructed investigate role carbamoyltobramycin production result showed knockout tobr increased carbamoyltobramycin biosynthesis whereas overexpression decreased carbamoyltobramycin production vitro electrophoretic mobility shift assay emsa experiment confirmed tobr interacts dna adjacent tobo promoter position strain overexpressing tobo ermep promoter exhibited increase tobo kasop promoter exhibited increase carbamoyltobramycin titer overexpressing tobo knockout tobr combined production carbamoyltobramycin enhanced shakeflask fermentation titer reached gl higher starting strain understanding role lrpasnc family transcription regulator would useful antibiotic biosynthesis actinomycete key point transcriptional regulator tobr belonging lrpasnc family identified oxygenase tobo identified within tobramycin biosynthesis cluster tobo tobr significant effect synthesis carbamoyltobramycin
17,"Kurarinone, a flavonoid from Radix Sophorae Flavescentis, inhibits RANKL-induced osteoclastogenesis in mouse bone marrow-derived monocyte/macrophages.","Inflammation-induced osteoclast proliferation is a crucial contributor to impaired bone metabolism. Kurarinone (KR), a flavonoid extracted from the Radix Sophorae Flavescentis, exhibits notable anti-inflammatory properties. Nevertheless, the precise influence of KR on osteoclast formation remains unclear. This study's objective was to assess the impact of KR on osteoclast activity in vitro and unravel its underlying mechanism. Initially, a target network for KR-osteoclastogenesis-osteoporosis was constructed using network pharmacology. Subsequently, the intersecting targets were identified through the Venny platform and a PPI network was created using Cytoscape 3.9.1. Key targets within the network were identified employing topological algorithms. GO enrichment and KEGG pathway analysis were then performed on these targets to explore their specific functions and pathways. Additionally, molecular docking of potential core targets of KR was conducted, and the results were validated through cell experiments. A total of 83 target genes overlapped between KR and osteoclastogenesis-osteoporosis targets. Enrichment analysis revealed their role in inflammatory response, protein tyrosine kinase activity, osteoclast differentiation, and MAPK and NF-κB signaling pathways. PPI analysis and molecular docking demonstrate that key targets MAPK14 and MAPK8 exhibit more stable binding with KR compared to other proteins. In vitro experiments demonstrate that KR effectively inhibits osteoclast differentiation and bone resorption without cellular toxicity. It suppresses key osteoclast genes (NFATc1, c-Fos, TRAP, MMP9, Ctsk, Atp6v2), hinders IκB-α degradation, and inhibits ERK and JNK phosphorylation, while not affecting p38 phosphorylation. The results indicate that KR may inhibit osteoclast maturation and bone resorption by blocking NF-κB and MAPK signaling pathways, suggesting its potential as a natural therapeutic agent for osteoporosis.",https://pubmed.ncbi.nlm.nih.gov/38643449/,inflammationinduced osteoclast proliferation crucial contributor impaired bone metabolism kurarinone kr flavonoid extracted radix sophorae flavescentis exhibit notable antiinflammatory property nevertheless precise influence kr osteoclast formation remains unclear study objective ass impact kr osteoclast activity vitro unravel underlying mechanism initially target network krosteoclastogenesisosteoporosis constructed using network pharmacology subsequently intersecting target identified venny platform ppi network created using cytoscape key target within network identified employing topological algorithm go enrichment kegg pathway analysis performed target explore specific function pathway additionally molecular docking potential core target kr conducted result validated cell experiment total target gene overlapped kr osteoclastogenesisosteoporosis target enrichment analysis revealed role inflammatory response protein tyrosine kinase activity osteoclast differentiation mapk nfb signaling pathway ppi analysis molecular docking demonstrate key target mapk mapk exhibit stable binding kr compared protein vitro experiment demonstrate kr effectively inhibits osteoclast differentiation bone resorption without cellular toxicity suppresses key osteoclast gene nfatc cfo trap mmp ctsk atpv hinders ib degradation inhibits erk jnk phosphorylation affecting p phosphorylation result indicate kr may inhibit osteoclast maturation bone resorption blocking nfb mapk signaling pathway suggesting potential natural therapeutic agent osteoporosis
18,Adipose-derived stem cells promote glycolysis and peritoneal metastasis via TGF-β1/SMAD3/ANGPTL4 axis in colorectal cancer.,"Peritoneal metastasis, the third most common metastasis in colorectal cancer (CRC), has a poor prognosis for the rapid progression and limited therapeutic strategy. However, the molecular characteristics and pathogenesis of CRC peritoneal metastasis are poorly understood. Here, we aimed to elucidate the action and mechanism of adipose-derived stem cells (ADSCs), a prominent component of the peritoneal microenvironment, in CRC peritoneal metastasis formation. Database analysis indicated that ADSCs infiltration was increased in CRC peritoneal metastases, and high expression levels of ADSCs marker genes predicted a poor prognosis. Then we investigated the effect of ADSCs on CRC cells in vitro and in vivo. The results revealed that CRC cells co-cultured with ADSCs exhibited stronger metastatic property and anoikis resistance, and ADSCs boosted the intraperitoneal seeding of CRC cells. Furthermore, RNA sequencing was carried out to identify the key target gene, angiopoietin like 4 (ANGPTL4), which was upregulated in CRC specimens, especially in peritoneal metastases. Mechanistically, TGF-β1 secreted by ADSCs activated SMAD3 in CRC cells, and chromatin immunoprecipitation assay showed that SMAD3 facilitated ANGPTL4 transcription by directly binding to ANGPTL4 promoter. The ANGPTL4 upregulation was essential for ADSCs to promote glycolysis and anoikis resistance in CRC. Importantly, simultaneously targeting TGF-β signaling and ANGPTL4 efficiently reduced intraperitoneal seeding in vivo. In conclusion, this study indicates that tumor-infiltrating ADSCs promote glycolysis and anoikis resistance in CRC cells and ultimately facilitate peritoneal metastasis via the TGF-β1/SMAD3/ANGPTL4 axis. The dual-targeting of TGF-β signaling and ANGPTL4 may be a feasible therapeutic strategy for CRC peritoneal metastasis.",https://pubmed.ncbi.nlm.nih.gov/38643448/,peritoneal metastasis third common metastasis colorectal cancer crc poor prognosis rapid progression limited therapeutic strategy however molecular characteristic pathogenesis crc peritoneal metastasis poorly understood aimed elucidate action mechanism adiposederived stem cell adscs prominent component peritoneal microenvironment crc peritoneal metastasis formation database analysis indicated adscs infiltration increased crc peritoneal metastasis high expression level adscs marker gene predicted poor prognosis investigated effect adscs crc cell vitro vivo result revealed crc cell cocultured adscs exhibited stronger metastatic property anoikis resistance adscs boosted intraperitoneal seeding crc cell furthermore rna sequencing carried identify key target gene angiopoietin like angptl upregulated crc specimen especially peritoneal metastasis mechanistically tgf secreted adscs activated smad crc cell chromatin immunoprecipitation assay showed smad facilitated angptl transcription directly binding angptl promoter angptl upregulation essential adscs promote glycolysis anoikis resistance crc importantly simultaneously targeting tgf signaling angptl efficiently reduced intraperitoneal seeding vivo conclusion study indicates tumorinfiltrating adscs promote glycolysis anoikis resistance crc cell ultimately facilitate peritoneal metastasis via tgfsmadangptl axis dualtargeting tgf signaling angptl may feasible therapeutic strategy crc peritoneal metastasis
19,Lysinibacillus piscis sp. nov. isolated from the gut of mottled spinefoot Siganus fuscescens.,"A novel Lysinibacillus strain, designated KH24",https://pubmed.ncbi.nlm.nih.gov/38643446/,novel lysinibacillus strain designated kh
20,A rare KMT2A::CBL transcript in an acute monoblastic leukemia patient with an unfavorable outcome.,"Lysine [K] methyltransferase 2A (KMT2A, previously known as MLL) gene rearrangements are common in acute leukemias of various lineages and are associated with features such as chemotherapy resistance and rapid relapse. KMT2A::CBL is a rare fusion of unknown pathogenesis generated by a unique interstitial deletion of chromosome 11 that has been reported across a wide age range in both acute myeloid leukemia (AML) and acute lymphoblastic leukemia (ALL) patients. The leukemogenic effect of the KMT2A::CBL rearrangement and its association with clinical prognosis have not been well clarified.",https://pubmed.ncbi.nlm.nih.gov/38643442/,lysine k methyltransferase kmta previously known mll gene rearrangement common acute leukemia various lineage associated feature chemotherapy resistance rapid relapse kmtacbl rare fusion unknown pathogenesis generated unique interstitial deletion chromosome reported across wide age range acute myeloid leukemia aml acute lymphoblastic leukemia patient leukemogenic effect kmtacbl rearrangement association clinical prognosis well clarified
